"Farm Name","State","City","location","lat","lon"
"Flora Farm Produce","Kansas","Pittsburg","Kansas, Pittsburg",37.410884,-94.70496
"Redger Farms","Kansas","Plains","Kansas, Plains",39.011902,-98.4842465
"C&M McGinnis Grass-Fed Beef","Kansas","Pleasanton","Kansas, Pleasanton",38.1778053,-94.7113471
"Rosie's Backyard Critters","Kansas","Pratt","Kansas, Pratt",37.6439071,-98.7375911
"Smith Cattle","Kansas","Redfield","Kansas, Redfield",37.8367069,-94.8810794
"Morning Grit Farm","Kansas","Rose Hill","Kansas, Rose Hill",37.5583517,-97.1350405
"Flying S Ranch","Kansas","Saint Francis","Kansas, Saint Francis",39.7741861,-101.8009427
"AJ Honey Farms LLC","Kansas","Salina","Kansas, Salina",38.8402805,-97.6114237
"Coyote Oaks Vineyard","Kansas","Salina","Kansas, Salina",38.8402805,-97.6114237
"Vanleeuwen Farm","Kansas","Savonburg","Kansas, Savonburg",37.7494876,-95.1441446
"Chautauqua Hills Farm","Kansas","Sedan","Kansas, Sedan",37.1267196,-96.1869361
"Serenity Farm CSA","Kansas","Sedgwick","Kansas, Sedgwick",37.9166784,-97.422541
"River Watch Beef","Kansas","Shawnee","Kansas, Shawnee",39.0228485,-94.7151865
"The Red Rock Guest Ranch","Kansas","Soldier","Kansas, Soldier",39.5361062,-95.9641594
"Blagg Herefords","Kansas","Spring Hill","Kansas, Spring Hill",38.7430645,-94.8255166
"Purple Meadows Lavender Farm","Kansas","Spring Hill","Kansas, Spring Hill",38.7430645,-94.8255166
"Tenth Street Orchard","Kansas","Sterling","Kansas, Sterling",38.2100111,-98.2070059
"Kubick Farms","Kansas","Sylvan Grove","Kansas, Sylvan Grove",39.0094538,-98.394228
"Mew Cattle","Kansas","Tecumseh","Kansas, Tecumseh",39.0442603,-95.5821726
"The Smiling M Farm","Kansas","Tonganoxie","Kansas, Tonganoxie",39.109724,-95.0877465
"P & T Farms","Kansas","Topeka","Kansas, Topeka",39.0473451,-95.6751576
"Rees Fruit Farm Inc.","Kansas","Topeka","Kansas, Topeka",39.0473451,-95.6751576
"Root Farms","Kansas","Topeka","Kansas, Topeka",39.0473451,-95.6751576
"Piper Pastures","Kansas","Udall","Kansas, Udall",37.3875221,-97.1142063
"Sun E View Farm","Kansas","Ulysses","Kansas, Ulysses",37.5814095,-101.3551696
"Savoy Gardens","Kansas","Valley Center","Kansas, Valley Center",37.8323292,-97.3720207
"Country Christmas Trees","Kansas","Wakarusa","Kansas, Wakarusa",38.8856935,-95.6960344
"Wakarusa Valley Vineyard","Kansas","Wakarusa","Kansas, Wakarusa",38.8856935,-95.6960344
"Woolly Bee Farm","Kansas","Wamego","Kansas, Wamego",39.2019412,-96.3049975
"Penning 4K Ranch LLC","Kansas","Washington","Kansas, Washington",39.8180592,-97.0508605
"Dancing Cow Farms","Kansas","Wellsville","Kansas, Wellsville",38.7183422,-95.0816354
"George Farm and Homestead","Kansas","Wellsville","Kansas, Wellsville",38.7183422,-95.0816354
"American Bee Keeping","Kansas","Wichita","Kansas, Wichita",37.6871761,-97.330053
"Depot Farm Market","Kansas","Wichita","Kansas, Wichita",37.6871761,-97.330053
"Hosta Ladies by Riverside Wood","Kansas","Wichita","Kansas, Wichita",37.6871761,-97.330053
"ICT Urban Greens","Kansas","Wichita","Kansas, Wichita",37.6871761,-97.330053
"Kansas Mountain Goats","Kansas","Wilson","Kansas, Wilson",38.8250106,-98.4753437
"Bob White Farms II","Kentucky","Benton","Kentucky, Benton",36.8572781,-88.350315
"Ky's Best Farm","Kentucky","Berea","Kentucky, Berea",37.568694,-84.2963223
"Montgomery's Poultry Farm","Kentucky","Bowling Green","Kentucky, Bowling Green",36.9685219,-86.4808043
"Peacefield","Kentucky","Bowling Green","Kentucky, Bowling Green",36.9685219,-86.4808043
"Royalty Rock Jerseys","Kentucky","Bowling Green","Kentucky, Bowling Green",36.9685219,-86.4808043
"Little Brush Creek Farm","Kentucky","Buffalo","Kentucky, Buffalo",37.5120048,-85.6985727
"Hidden Cave Ranch","Kentucky","Burkesville","Kentucky, Burkesville",36.7903399,-85.3705186
"Riverbrook Farm","Kentucky","Burkesville","Kentucky, Burkesville",36.7903399,-85.3705186
"Crigler Family Farm","Kentucky","Burlington","Kentucky, Burlington",39.02756,-84.7241133
"Maple Lane Farm","Kentucky","Burlington","Kentucky, Burlington",39.02756,-84.7241133
"Little Mill Farms","Kentucky","Cadiz","Kentucky, Cadiz",36.8650496,-87.835295
"Boston Spring Farm","Kentucky","Calhoun","Kentucky, Calhoun",37.5389351,-87.2583316
"Onewildhoney Apiary Farm","Kentucky","Calhoun","Kentucky, Calhoun",37.5389351,-87.2583316
"Alsager Acres","Kentucky","Campbellsville","Kentucky, Campbellsville",37.3433974,-85.3419069
"Wytch Wynd Farm","Kentucky","Campbellsville","Kentucky, Campbellsville",37.3433974,-85.3419069
"Battaglia Farms","Kentucky","Carrollton","Kentucky, Carrollton",38.6808958,-85.1793979
"Bear Creek Cattle Company","Kentucky","Catlettsburg","Kentucky, Catlettsburg",38.4047675,-82.6008669
"Beautiful Valley Dairy Goats","Kentucky","Clarkson","Kentucky, Clarkson",37.4953595,-86.2230007
"All Things Alpaca","Kentucky","Cold Spring","Kentucky, Cold Spring",39.0217283,-84.4399406
"Big Black Dog Farm","Kentucky","Columbia","Kentucky, Columbia",37.102841,-85.3063504
"Blake's Fork Cattle Company","Kentucky","Corbin","Kentucky, Corbin",36.9486986,-84.0968761
"Meadowview Farm & Natural Habitat Gardens","Kentucky","Crestwood","Kentucky, Crestwood",38.3242355,-85.4724593
"Whispering Lands Ranch","Kentucky","Dawson Springs","Kentucky, Dawson Springs",37.1672684,-87.6925074
"Sylvatica Forest Farm","Kentucky","Disputanta","Kentucky, Disputanta",37.4884178,-84.2574337
"Hyde'n Bee Honey","Kentucky","Dry Ridge","Kentucky, Dry Ridge",38.6820122,-84.5899426
"Bon Bon's Blueberries","Kentucky","Edmonton","Kentucky, Edmonton",36.9800563,-85.6121906
"England Ranch","Kentucky","Edmonton","Kentucky, Edmonton",36.9800563,-85.6121906
"Allgood's Boer Goats","Kentucky","Ekron","Kentucky, Ekron",37.9319642,-86.1780867
"Hampshire Farm","Kentucky","Eubank","Kentucky, Eubank",37.2784114,-84.6585555
"Fairy Rose Farm","Kentucky","Falmouth","Kentucky, Falmouth",38.6767372,-84.3302142
"HH Short Creek Farm","Kentucky","Falmouth","Kentucky, Falmouth",38.6767372,-84.3302142
"Littledove Farm","Kentucky","Fisherville","Kentucky, Fisherville",38.191485,-85.4718869
"Davis Farm","Kentucky","Flemingsburg","Kentucky, Flemingsburg",38.4222995,-83.7338076
"Baker-Bird Winery","Kentucky","Foster","Kentucky, Foster",38.7992355,-84.2129899
"Brooks Hill Farm","Kentucky","Frankfort","Kentucky, Frankfort",38.2009055,-84.8732835
"Summer's Bird Honey","Kentucky","Frankfort","Kentucky, Frankfort",38.2009055,-84.8732835
"Jackson Gardens","Kentucky","Franklin","Kentucky, Franklin",36.7187855,-86.5785573
"Mack & Madie Honey","Kentucky","Fredonia","Kentucky, Fredonia",37.2081074,-88.0566877
"McFarland Farms","Kentucky","Georgetown","Kentucky, Georgetown",38.2097967,-84.5588311
"Jumbleberry Farms","Kentucky","Ghent","Kentucky, Ghent",38.7375625,-85.0582835
"Junior & Cheryl's Produce & Herbs","Kentucky","Glasgow","Kentucky, Glasgow",36.9963236,-85.9128353
"Magic Acres Farm","Kentucky","Grange","Kentucky, Grange",38.4075666,-85.3788468
"Whispering Pines Farm","Kentucky","Grange","Kentucky, Grange",38.4075666,-85.3788468
"Angie Rice","Kentucky","Grayson","Kentucky, Grayson",38.3325812,-82.9485023
"Darnell Farm","Kentucky","Greenup","Kentucky, Greenup",38.5731349,-82.8301677
"Sparkman Farm","Kentucky","Hallie","Kentucky, Hallie",37.1023165,-83.0212745
"William Herefords","Kentucky","Hardinsburg","Kentucky, Hardinsburg",37.780009,-86.460847
"Abiding Grace Farm","Kentucky","Harrodsburg","Kentucky, Harrodsburg",37.7623374,-84.8433006
"B & B Berries","Kentucky","Harrodsburg","Kentucky, Harrodsburg",37.7623374,-84.8433006
"Drip Rock Farm","Kentucky","Irvine","Kentucky, Irvine",33.7116879,-117.7948245
"Rocket Farm","Kentucky","Jeremiah","Kentucky, Jeremiah",37.1673196,-82.9290502
"Durbin Family Farm","Kentucky","Knifley","Kentucky, Knifley",37.2428449,-85.1894035
"Ambrosia Farm","Kentucky","Knob Lick","Kentucky, Knob Lick",37.0783885,-85.6944141
"Clubb Royalty Heritage Farm","Kentucky","La Grange","Kentucky, La Grange",38.4075666,-85.3788468
"Wonderland Farms","Kentucky","La Grange","Kentucky, La Grange",38.4075666,-85.3788468
"Goodin View Farms","Kentucky","Lebanon","Kentucky, Lebanon",37.5698914,-85.2525819
"Huggett Family Farm","Kentucky","Lebanon Junction","Kentucky, Lebanon Junction",37.8340256,-85.7292906
"Charlie FoxTrot Farm","Kentucky","Lexington","Kentucky, Lexington",38.0389091,-84.5152662
"Groovy Lagoon Sales","Kentucky","Lexington","Kentucky, Lexington",38.0389091,-84.5152662
"Nieman's Christmas Tree Farm","Kentucky","Lexington","Kentucky, Lexington",38.0389091,-84.5152662
"Second Season Produce","Kentucky","Liberty","Kentucky, Liberty",37.3184064,-84.9393979
"Goat Woods Farm","Kentucky","London","Kentucky, London",37.1289771,-84.0832646
"Strickland Farms","Kentucky","Louisa","Kentucky, Louisa",38.1142544,-82.6032119
"Bardstown Road Valley Farm","Kentucky","Louisville","Kentucky, Louisville",38.2468618,-85.7663724
"Kentucky Greens Co.","Kentucky","Louisville","Kentucky, Louisville",38.2468618,-85.7663724
"Weatherby Rubs","Kentucky","Louisville","Kentucky, Louisville",38.2468618,-85.7663724
"1791 Farms","Kentucky","Madisonville","Kentucky, Madisonville",37.3281005,-87.4988882
"Bright Raven Simmental Farm","Kentucky","Maysville","Kentucky, Maysville",38.6411854,-83.744365
"Sturgeon Creek Farm","Kentucky","McKee","Kentucky, McKee",37.430364,-83.9979834
"Free Radical Ranch","Kentucky","Morning View","Kentucky, Morning View",38.8320105,-84.4563282
"Morning View Mushrooms","Kentucky","Morning View","Kentucky, Morning View",38.8320105,-84.4563282
"Agape Fields","Kentucky","Nicholasville","Kentucky, Nicholasville",37.8794475,-84.573442
"Knight's Garden","Kentucky","Nicholasville","Kentucky, Nicholasville",37.8794475,-84.573442
"Rayburn's Blessed Acres","Kentucky","Olive Hill","Kentucky, Olive Hill",38.3000809,-83.1740654
"Neltner Farms","Kentucky","Owensboro","Kentucky, Owensboro",37.767366,-87.1128721
"Abney Farms","Kentucky","Paint Lick","Kentucky, Paint Lick",37.6167483,-84.4093797
"Aleaton Farm","Kentucky","Paris","Kentucky, Paris",38.2097987,-84.2529869
"Carter Farms","Kentucky","Paris","Kentucky, Paris",38.2097987,-84.2529869
"Ridgemount Farm","Kentucky","Pendleton","Kentucky, Pendleton",38.4622879,-85.3035678
"Mile Hill Farm & Food","Kentucky","Princeton","Kentucky, Princeton",37.1092162,-87.8819594
"Jamie Daugherty Farm","Kentucky","Raywick","Kentucky, Raywick",37.5604993,-85.4308984
"Lawless Dairy","Kentucky","Russell Springs","Kentucky, Russell Springs",37.0561788,-85.0885667
"Hard Rock Maple Farm","Kentucky","Russellville","Kentucky, Russellville",36.8453199,-86.887219
"Athena Ridge Ltd Co.","Kentucky","Sadieville","Kentucky, Sadieville",38.3892392,-84.5374424
"Ison Polled Hereford","Kentucky","Sandy Hook","Kentucky, Sandy Hook",38.0864739,-83.1262839
"Maple Dell Ranch","Kentucky","Scottsville","Kentucky, Scottsville",36.7533781,-86.1905424
"Abelle Farm","Kentucky","Shelbyville","Kentucky, Shelbyville",38.2111619,-85.2188263
"Long Ridge Farm","Kentucky","Shelbyville","Kentucky, Shelbyville",38.2111619,-85.2188263
"Southville Spitters","Kentucky","Shelbyville","Kentucky, Shelbyville",38.2111619,-85.2188263
"Sweet Blossom Farm","Kentucky","Shelbyville","Kentucky, Shelbyville",38.2111619,-85.2188263
"The Shepherd's Criations Alpaca Farm","Kentucky","Shepherdsville","Kentucky, Shepherdsville",37.9909115,-85.7158315
"Johnson Farm","Kentucky","Slaughters","Kentucky, Slaughters",37.4889336,-87.5022239
"Possum Valley Farm","Kentucky","Smithfield","Kentucky, Smithfield",38.3867344,-85.2569005
"Tattooed Unicorn Ranch","Kentucky","Smithland","Kentucky, Smithland",37.1389445,-88.4033716
"Altera Alpaca","Kentucky","Springfield","Kentucky, Springfield",37.6864315,-85.2212177
"On Tapp Dairy","Kentucky","Springfield","Kentucky, Springfield",37.6864315,-85.2212177
"Sageser Blackberry Farm","Kentucky","Stamping Ground","Kentucky, Stamping Ground",38.2717389,-84.686335
"Stag Oaks Farm","Kentucky","Stamping Ground","Kentucky, Stamping Ground",38.2717389,-84.686335
"Circle N Farm","Kentucky","Stanton","Kentucky, Stanton",37.8456373,-83.8582525
"3rd Chance","Kentucky","Sterling","Kentucky, Sterling",37.8393332,-84.2700179
"Bonded Dreams Farm","Kentucky","Taylorsville","Kentucky, Taylorsville",38.0317304,-85.3424533
"D & M Farm","Kentucky","Taylorsville","Kentucky, Taylorsville",38.0317304,-85.3424533
"Fleur De Luna","Kentucky","Taylorsville","Kentucky, Taylorsville",38.0317304,-85.3424533
"Nosey Bee Place","Kentucky","Taylorsville","Kentucky, Taylorsville",38.0317304,-85.3424533
"Anderson’s Critter Cove Farm","Kentucky","Tompkinsville","Kentucky, Tompkinsville",36.7022797,-85.6916396
"Perkins Cattle Co.","Kentucky","Turners Station","Kentucky, Turners Station",38.5556203,-85.1677318
"Anglin Farm","Kentucky","Union","Kentucky, Union",38.9458951,-84.680501
"Verona Hops","Kentucky","Verona","Kentucky, Verona",38.8180932,-84.6606092
"Baker Farm","Kentucky","Versailles","Kentucky, Versailles",38.0514897,-84.7305058
"My Pretty Moon Farm","Kentucky","Versailles","Kentucky, Versailles",38.0514897,-84.7305058
"Musick Mountain Farm","Kentucky","Williamsburg","Kentucky, Williamsburg",36.7434169,-84.1596561
"Dunaway Farms","Kentucky","Wilmore","Kentucky, Wilmore",37.860966,-84.662514
"Ryan Smith's Farm","Kentucky","Wilmore","Kentucky, Wilmore",37.860966,-84.662514
"Guidry's Daylily Garden LLC","Louisiana","Abbeville","Louisiana, Abbeville",29.9746502,-92.1342921
"Field of Blessings Farm","Louisiana","Abita Springs","Louisiana, Abita Springs",30.4785257,-90.0375755
"Fisher Farms","Louisiana","Abita Springs","Louisiana, Abita Springs",30.4785257,-90.0375755
"Fekete Farm","Louisiana","Albany","Louisiana, Albany",30.5043578,-90.5823138
"Quarter Acre Homestead & Nursery","Louisiana","Alexandria","Louisiana, Alexandria",31.3112936,-92.4451371
"Joe Fekete’s Family Farm","Louisiana","Amite","Louisiana, Amite",30.7265747,-90.5089815
"MB Braud Cattle Co. LLC","Louisiana","Amite","Louisiana, Amite",30.7265747,-90.5089815
"Lewis Hereford Farm","Louisiana","Angie","Louisiana, Angie",30.9665729,-89.8095208
"Steele's Christmas Tree Farm","Louisiana","Angie","Louisiana, Angie",30.9665729,-89.8095208
"Bayou Hemp Farm","Louisiana","Avoyelles","Louisiana, Avoyelles",30.9711824,-92.0665197
"Fullness Farm","Louisiana","Baton Rouge","Louisiana, Baton Rouge",30.4514677,-91.1871466
"Hilltop Apiary","Louisiana","Baton Rouge","Louisiana, Baton Rouge",30.4514677,-91.1871466
"Shady Oak Farm","Louisiana","Baton Rouge","Louisiana, Baton Rouge",30.4514677,-91.1871466
"Willow Creek Ranch","Louisiana","Baton Rouge","Louisiana, Baton Rouge",30.4514677,-91.1871466
"Skeet's Farm","Louisiana","Bogalusa","Louisiana, Bogalusa",30.7910204,-89.8486858
"DZA Goats","Louisiana","Boyce","Louisiana, Boyce",31.3904558,-92.6693132
"Bonne Terre","Louisiana","Breaux Bridge","Louisiana, Breaux Bridge",30.2735323,-91.8992837
"LA Serendipity Vineyards","Louisiana","Bush","Louisiana, Bush",30.6088011,-89.9000731
"Precious Memories Tree Farm","Louisiana","Calhoun","Louisiana, Calhoun",32.512726,-92.3581632
"Ducky's Apiary","Louisiana","Carencro","Louisiana, Carencro",30.317144,-92.0490096
"Estes Farms","Louisiana","Clay","Louisiana, Clay",29.755338,-95.3699357
"Ginger Farms","Louisiana","Clinton","Louisiana, Clinton",30.8657362,-91.0156594
"Guidry’s Cajun Farmstead","Louisiana","Cut Off","Louisiana, Cut Off",29.5427168,-90.3381361
"M & W Produce","Louisiana","Delhi","Louisiana, Delhi",32.4576421,-91.4931736
"Skipper Farms","Louisiana","Delhi","Louisiana, Delhi",32.4576421,-91.4931736
"Shelby/West Farms","Louisiana","Denham Springs","Louisiana, Denham Springs",30.4868564,-90.9562125
"You Are My Sunshine Farm","Louisiana","Denham Springs","Louisiana, Denham Springs",30.4868564,-90.9562125
"Gold Dust Plantation","Louisiana","Donaldsonville","Louisiana, Donaldsonville",30.1010323,-90.9928773
"Haley’s Honey","Louisiana","Dry Prong","Louisiana, Dry Prong",31.5812854,-92.5329202
"Ol’ McGuffee’s Farm","Louisiana","Elm Grove","Louisiana, Elm Grove",32.3520927,-93.556133
"3P Ranch","Louisiana","Erath","Louisiana, Erath",29.9582611,-92.0359562
"Green's Farming Enterprises","Louisiana","Erath","Louisiana, Erath",29.9582611,-92.0359562
"Belle Terre Farm","Louisiana","Ethel","Louisiana, Ethel",30.7905788,-91.1313095
"Cassandra Jones Produce","Louisiana","Ethel","Louisiana, Ethel",30.7905788,-91.1313095
"Sagrera Farms","Louisiana","Ethel","Louisiana, Ethel",30.7905788,-91.1313095
"Coastal Prairie Farms","Louisiana","Eunice","Louisiana, Eunice",30.4943669,-92.4176324
"Cockeyed Farms","Louisiana","Folsom","Louisiana, Folsom",30.6301889,-90.1873048
"Hereau Farms","Louisiana","Franklinton","Louisiana, Franklinton",30.8471283,-90.153141
"Lutz Cattle Co.","Louisiana","Franklinton","Louisiana, Franklinton",30.8471283,-90.153141
"Kingston Orchards","Louisiana","Frierson","Louisiana, Frierson",32.2518252,-93.6899007
"Muse 3 Farm LLC","Louisiana","Greensburg","Louisiana, Greensburg",30.8307379,-90.6717642
"Starkey Farmstead","Louisiana","Greensburg","Louisiana, Greensburg",30.8307379,-90.6717642
"Small Farm of No Worries","Louisiana","Hammond","Louisiana, Hammond",30.5043583,-90.4611995
"Airhart Farms","Louisiana","Hornbeck","Louisiana, Hornbeck",31.325737,-93.3985041
"Infinity Ranch & Rescue","Louisiana","Houma","Louisiana, Houma",29.5957696,-90.7195348
"Grace Ranch","Louisiana","Jennings","Louisiana, Jennings",30.2224284,-92.657085
"R&R Cattle Enterprises","Louisiana","Keithville","Louisiana, Keithville",32.3333667,-93.8296541
"Happy Hen Farm","Louisiana","Kenner","Louisiana, Kenner",29.9940924,-90.2417434
"Briar Patch Farms","Louisiana","Kentwood","Louisiana, Kentwood",30.9382358,-90.5089843
"Peregrine Falcon Farm","Louisiana","Labadieville","Louisiana, Labadieville",29.8394603,-90.9543375
"Black Bird Botanica","Louisiana","Lafayette","Louisiana, Lafayette",30.2240897,-92.0198427
"Rocking H Farms LLC","Louisiana","Lafayette","Louisiana, Lafayette",30.2240897,-92.0198427
"The Urban Naturalist","Louisiana","Lafayette","Louisiana, Lafayette",30.2240897,-92.0198427
"Virgin Hemp Farms LLC","Louisiana","Lafayette","Louisiana, Lafayette",30.2240897,-92.0198427
"Manuel Cattle","Louisiana","Lake Charles","Louisiana, Lake Charles",30.2265949,-93.2173758
"WildWood Corner","Louisiana","Lake Charles","Louisiana, Lake Charles",30.2265949,-93.2173758
"Haven Flower Farm","Louisiana","Lockport","Louisiana, Lockport",29.6460467,-90.5392524
"A&A Acres","Louisiana","Loranger","Louisiana, Loranger",30.6357439,-90.3981441
"Motherland Farm","Louisiana","Loranger","Louisiana, Loranger",30.6357439,-90.3981441
"2AcreFarms","Louisiana","Marrero","Louisiana, Marrero",29.8993723,-90.1003506
"Dennison Family Farms","Louisiana","Metairie","Louisiana, Metairie",29.9840922,-90.1528519
"Esined LLC","Louisiana","Metairie","Louisiana, Metairie",29.9840922,-90.1528519
"Mycelium Express","Louisiana","Metairie","Louisiana, Metairie",29.9840922,-90.1528519
"Crump Cattle","Louisiana","Minden","Louisiana, Minden",32.6154278,-93.2868354
"Moe Better Farms","Louisiana","Monroe","Louisiana, Monroe",32.5093109,-92.1193012
"Ard's Mini Farm","Louisiana","Montpelier","Louisiana, Montpelier",30.6810194,-90.6489843
"Four Oaks Farm","Louisiana","Morganza","Louisiana, Morganza",30.738518,-91.5942819
"Cryer's Family Produce","Louisiana","Mount Hermon","Louisiana, Mount Hermon",30.9601803,-90.295925
"Smith Angus Farm","Louisiana","Mt Hermon","Louisiana, Mt Hermon",30.9601803,-90.295925
"4 Seasons Christmas Tree Farm and Nursery","Louisiana","Natchitoches","Louisiana, Natchitoches",31.7607195,-93.0862749
"H3R Farms","Louisiana","New Iberia","Louisiana, New Iberia",30.0035365,-91.8187285
"7Ds Farm","Louisiana","New Llano","Louisiana, New Llano",31.1149093,-93.2715535
"Barcelo Gardens","Louisiana","New Orleans","Louisiana, New Orleans",29.9508941,-90.0758356
"Know Dat Grow Dat","Louisiana","New Orleans","Louisiana, New Orleans",29.9508941,-90.0758356
"Recirculating Farms","Louisiana","New Orleans","Louisiana, New Orleans",29.9508941,-90.0758356
"Sprout NOLA","Louisiana","New Orleans","Louisiana, New Orleans",29.9508941,-90.0758356
"Sugar Roots Farm","Louisiana","New Orleans","Louisiana, New Orleans",29.9508941,-90.0758356
"JP Murray Farms","Louisiana","Oak Grove","Louisiana, Oak Grove",32.8609625,-91.3884482
"Double D Farm & Ranch","Louisiana","Oak Ridge","Louisiana, Oak Ridge",36.0063722,-84.2949212
"Angry Goat Homestead","Louisiana","Oberlin","Louisiana, Oberlin",30.6201984,-92.7626462
"Chenier Farms","Louisiana","Opelousas","Louisiana, Opelousas",30.5335302,-92.081509
"Fontenots Green Acres","Louisiana","Opelousas","Louisiana, Opelousas",30.5335302,-92.081509
"Louisiana Gourmet Produce","Louisiana","Paulina","Louisiana, Paulina",30.0260591,-90.7134113
"The Bee Commander LLC","Louisiana","Pearl River","Louisiana, Pearl River",30.3760264,-89.7483972
"Howell Family Farm","Louisiana","Pioneer","Louisiana, Pioneer",32.7362443,-91.4334496
"Morrow Farm","Louisiana","Ponchatoula","Louisiana, Ponchatoula",30.4388041,-90.4414762
"Little Feet Farm","Louisiana","Port Vincent","Louisiana, Port Vincent",30.333805,-90.8495418
"Luckett Farms","Louisiana","Pride","Louisiana, Pride",30.0147481,-90.02175
"Paul's Plants and Produce","Louisiana","Pride","Louisiana, Pride",30.0147481,-90.02175
"Diamond S Produce","Louisiana","Raceland","Louisiana, Raceland",29.7274331,-90.5989759
"Hebler Organically Grown Blueberry Farm","Louisiana","Ringgold","Louisiana, Ringgold",32.3284899,-93.2798916
"Sam Sprouts and Farms","Louisiana","Robert","Louisiana, Robert",30.5058161,-90.3413076
"Rayne Mycelia","Louisiana","Ruston","Louisiana, Ruston",32.5232053,-92.637927
"Westdome Nursery","Louisiana","Saint Francisville","Louisiana, Saint Francisville",30.7880721,-91.3768479
"Guidry Organic Farms","Louisiana","Scott","Louisiana, Scott",30.2357569,-92.0945672
"Weaver's Christmas Tree Farm","Louisiana","Shreveport","Louisiana, Shreveport",32.5251516,-93.7501789
"Raven's Cliff Farms","Louisiana","Shreveport","Louisiana, Shreveport",32.5251516,-93.7501789
"Creek and Stone Cattle","Louisiana","Sicily Island","Louisiana, Sicily Island",31.8465511,-91.6562354
"Cool Beans Farm","Louisiana","Slaughter","Louisiana, Slaughter",30.7174063,-91.1414958
"Maranatha Greens","Louisiana","Slaughter","Louisiana, Slaughter",30.7174063,-91.1414958
"Rayne E Farm","Louisiana","Slidell","Louisiana, Slidell",30.2751945,-89.7811745
"Hashagen Farms","Louisiana","St. Francisville","Louisiana, St. Francisville",30.7880721,-91.3768479
"Stonewall Apiaries","Louisiana","Stonewall","Louisiana, Stonewall",32.2818252,-93.8240703
"Twisted S Farm","Louisiana","Sugartown","Louisiana, Sugartown",30.8399155,-93.0148779
"Welcome Farms","Louisiana","Thibodaux","Louisiana, Thibodaux",29.7957633,-90.822871
"Family Fungi","Louisiana","Tickfaw","Louisiana, Tickfaw",30.5772403,-90.483497
"Bayou Farm","Louisiana","Ville Platte","Louisiana, Ville Platte",30.6879749,-92.2715157
"James Rice Farms","Louisiana","Ville Platte","Louisiana, Ville Platte",30.6879749,-92.2715157
"Soileau Family Farm","Louisiana","Ville Platte","Louisiana, Ville Platte",30.6879749,-92.2715157
"Windmill Nursery of Louisiana","Louisiana","Washington","Louisiana, Washington",30.6163073,-92.057063
"Bon Soleil Quail and Produce Farms","Louisiana","Welsh","Louisiana, Welsh",30.2360403,-92.8226453
"Dirt Road Farms","Louisiana","Welsh","Louisiana, Welsh",30.2360403,-92.8226453
"Big Daddy Farms","Louisiana","West Monroe","Louisiana, West Monroe",32.5184775,-92.1476353
"Rusty Cock Farm","Louisiana","West Monroe","Louisiana, West Monroe",32.5184775,-92.1476353
"Windmill Ridge","Louisiana","Winnsboro","Louisiana, Winnsboro",32.1632079,-91.720681
"Triple B Farms","Louisiana","Youngsville","Louisiana, Youngsville",30.0996471,-91.9901206
"Genesis Wellness Microgreens","Louisiana","Zachary","Louisiana, Zachary",30.6485191,-91.1564961
"Goshen Farm","Louisiana","Zachary","Louisiana, Zachary",30.6485191,-91.1564961
"Triple M Ranch","Louisiana","Zachary","Louisiana, Zachary",30.6485191,-91.1564961
"Great East Alpaca’s & Llama’s","Maine","Acton","Maine, Acton",43.5233821,-70.9277544
"Wescogus Wild Blueberries","Maine","Addison","Maine, Addison",44.6187653,-67.7446087
"Field of Greens Farm","Maine","Albion","Maine, Albion",44.5322902,-69.4425423
"Mount Apatite Farm","Maine","Auburn","Maine, Auburn",44.0978509,-70.2311655
"Barter Island Bees","Maine","Barters Island","Maine, Barters Island",43.8993383,-69.6769872
"Sunrise Farm","Maine","Belgrade","Maine, Belgrade",44.4642941,-69.8315669
"Harlow Pond Farm","Maine","Biddenford","Maine, Biddenford",43.4925843,-70.4533844
"Misty Mountain Farm","Maine","Blanchard Twp","Maine, Blanchard Twp",45.2675506,-69.5836635
"Blue Hill Farm","Maine","Blue Hill","Maine, Blue Hill",44.4130216,-68.5883185
"Beauregards Farm","Maine","Boothbay","Maine, Boothbay",43.8753257,-69.6338115
"DeadRiver Homestead","Maine","Bowdoin","Maine, Bowdoin",44.0495825,-69.9696243
"The Modern Herbalist","Maine","Bowdoinham","Maine, Bowdoinham",44.0091821,-69.8968927
"Honey Petal Plants","Maine","Brooks","Maine, Brooks",44.5503501,-69.120873
"Milkweed Farm","Maine","Brunswick","Maine, Brunswick",43.914614,-69.9649054
"Simply Grown Farm","Maine","Cape Neddick","Maine, Cape Neddick",43.1725233,-70.6124482
"Heartstone Farm","Maine","Charleston","Maine, Charleston",45.0850615,-69.0405949
"Chester Maine Maple","Maine","Chester","Maine, Chester",45.4086674,-68.4997474
"Two Loons Farm","Maine","China","Maine, China",44.4786791,-69.5172641
"Raven Ridge Farm","Maine","Columbia","Maine, Columbia",44.6828178,-67.7806456
"Itty Bitty Farm","Maine","Columbia Falls","Maine, Columbia Falls",44.6538001,-67.7273744
"Casa Cattle Company","Maine","Corinna","Maine, Corinna",44.921174,-69.2617131
"Hosac Farm","Maine","Cornish","Maine, Cornish",43.8047977,-70.8011731
"Haymaker Farm","Maine","Cumberland","Maine, Cumberland",43.7964669,-70.2584731
"Singing Pastures","Maine","Damariscotta","Maine, Damariscotta",44.0318909,-69.5295474
"Living Proof Farm","Maine","Dayton","Maine, Dayton",43.5358694,-70.5704598
